RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,AVG_LOC_ADDED,MAX_LOC_ADDED,LOC_REMOVED,AVG_LOC_REMOVED,MAX_LOC_REMOVED,CHURN,AVG_CHURN,MAX_CHURN,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,235,58.75,137,98,24.5,94,139,34.75,137,4,0,2,NO
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,340,68.0,252,96,19.2,64,262,52.4,252,5,1,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,1246,89.0,545,220,15.714285714285714,81,1026,73.28571428571429,545,14,2,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,121,40.333333333333336,81,29,9.666666666666666,29,92,30.666666666666668,81,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,195,48.75,168,15,3.75,12,180,45.0,168,4,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,633,70.33333333333333,487,162,18.0,104,551,61.22222222222222,487,9,1,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,210,42.0,124,6,1.2,2,204,40.8,124,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,621,88.71428571428571,536,70,10.0,26,557,79.57142857142857,536,7,2,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,168,33.6,133,19,3.8,14,149,29.8,133,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,164,54.666666666666664,151,7,2.3333333333333335,6,157,52.333333333333336,151,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,147,147.0,147,0,0.0,0,147,147.0,147,1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,269,53.8,126,132,26.4,113,141,28.2,126,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,280,70.0,249,9,2.25,8,271,67.75,249,4,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,1040,115.55555555555556,410,492,54.666666666666664,401,548,60.888888888888886,410,9,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,931,155.16666666666666,714,203,33.833333333333336,121,882,147.0,714,6,1,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,212,53.0,204,7,1.75,4,205,51.25,204,4,1,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50,53,26.5,50,3,1.5,3,50,25.0,50,2,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,185,207,41.4,184,22,4.4,16,185,37.0,184,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,66,22.0,61,5,1.6666666666666667,4,61,20.333333333333332,61,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157,210,26.25,167,53,6.625,26,181,22.625,167,8,1,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,92,23.0,80,11,2.75,7,81,20.25,80,4,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,133,44.333333333333336,83,49,16.333333333333332,46,84,28.0,83,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,762,1462,121.83333333333333,547,700,58.333333333333336,520,770,64.16666666666667,547,12,1,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,248,288,41.142857142857146,198,40,5.714285714285714,16,252,36.0,198,7,1,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,169,232,25.77777777777778,140,63,7.0,17,171,19.0,140,9,1,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,196,224,37.333333333333336,178,28,4.666666666666667,9,196,32.666666666666664,178,6,1,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,67,76,19.0,67,9,2.25,7,67,16.75,67,4,1,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,165,182,45.5,138,17,4.25,11,165,41.25,138,4,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,173,193,48.25,170,20,5.0,17,173,43.25,170,4,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,103,127,21.166666666666668,101,24,4.0,10,107,17.833333333333332,101,6,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,78,78,78.0,78,0,0.0,0,78,78.0,78,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,87,88,44.0,87,1,0.5,1,87,43.5,87,2,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,86,43.0,85,1,0.5,1,85,42.5,85,2,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,105,106,53.0,61,1,0.5,1,105,52.5,61,2,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,216,224,56.0,216,8,2.0,6,216,54.0,216,4,2,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,377,397,99.25,377,20,5.0,11,377,94.25,377,4,2,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,253,255,127.5,251,2,1.0,2,253,126.5,251,2,1,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,193,193,193.0,193,0,0.0,0,193,193.0,193,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,514,514,514.0,514,0,0.0,0,514,514.0,514,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,204,204,204.0,204,0,0.0,0,204,204.0,204,1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144,144,144.0,144,0,0.0,0,144,144.0,144,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,98,98.0,98,0,0.0,0,98,98.0,98,1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,203,29.0,178,22,3.142857142857143,9,189,27.0,178,7,2,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,162,40.5,75,8,2.0,5,154,38.5,75,4,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,489,44.45454545454545,209,96,8.727272727272727,48,399,36.27272727272727,209,11,1,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,139,46.333333333333336,75,7,2.3333333333333335,7,132,44.0,75,3,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,556,69.5,521,23,2.875,8,535,66.875,521,8,1,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,683,75.88888888888889,573,80,8.88888888888889,24,607,67.44444444444444,573,9,2,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,148,148.0,148,0,0.0,0,148,148.0,148,1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,184,61.333333333333336,173,10,3.3333333333333335,8,174,58.0,173,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,158,52.666666666666664,147,10,3.3333333333333335,8,148,49.333333333333336,147,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,834,139.0,763,742,123.66666666666667,688,1442,240.33333333333334,763,6,1,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,438,73.0,209,204,34.0,101,234,39.0,209,6,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,59,19.666666666666668,54,5,1.6666666666666667,4,54,18.0,54,3,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,43,21.5,38,5,2.5,5,38,19.0,38,2,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,102,51.0,98,4,2.0,4,98,49.0,98,2,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,49,16.333333333333332,38,10,3.3333333333333335,7,39,13.0,38,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,98,32.666666666666664,94,29,9.666666666666666,25,119,39.666666666666664,94,3,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,94,94.0,94,0,0.0,0,94,94.0,94,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,72,72.0,72,0,0.0,0,72,72.0,72,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,42,42.0,42,0,0.0,0,42,42.0,42,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,56,18.666666666666668,48,8,2.6666666666666665,5,48,16.0,48,3,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,67,33.5,63,4,2.0,4,63,31.5,63,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,257,128.5,237,20,10.0,20,237,118.5,237,2,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,139,46.333333333333336,133,6,2.0,5,133,44.333333333333336,133,3,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,150,37.5,136,13,3.25,10,137,34.25,136,4,0,2,YES
